Sector,HI,CI,BI,index_status_HI,index_status_CI,index_status_BI
390,3.9603960396039604,1.7391304347826086,3.9603960396039604,Alarma,Bueno,Alarma
400,7.142857142857142,2.2556390977443606,7.142857142857142,Emergencia,Bueno,Emergencia
401,8.695652173913043,4.25531914893617,8.695652173913043,Emergencia,Alarma,Emergencia
403,5.88235294117647,2.1739130434782608,5.88235294117647,Emergencia,Bueno,Emergencia
444,4.761904761904762,2.923976608187134,7.936507936507936,Alarma,Bueno,Emergencia
500,10.204081632653061,3.205128205128205,10.204081632653061,Emergencia,Alarma,Emergencia
513,0,0,0,Optimo,Optimo,Optimo
540,14.084507042253522,4.564315352697095,15.492957746478872,Emergencia,Alarma,Emergencia
569,19.51219512195122,3.826530612244898,36.58536585365854,Emergencia,Alarma,Emergencia
